gene.name	log2fc	fdr	padj
PSN0072	1.711362061	0	1
PSN0072	1.815576703	0	0.931429157
PSN0072	1.89441753	0	0.563881065
PSN0072	1.936299656	0	0.736902181
PSN0072	1.561225499	0	0.34393323
PSN0072	1.379057008	0	0.407638021
PSN0072	1.714777864	0	0.108599986
PSN0072	1.725121884	0	0.034938237
PSN0025	2.884329546	0.092804741	0.321404953
PSN0025	2.865937837	0.106284612	0.683769013
PSN0025	2.857426639	0.024787266	0.024820433
PSN0025	2.868878911	0.010819678	0.243833335
PSN0025	2.975747262	0.035891334	0.313445022
PSN0025	2.908998529	0.010657224	0.765846571
PSN0025	2.87308407	0	0.60396793
PSN0025	2.828439919	0.056848491	0.242579315
PSN0025	1.864519473	0	0.606677898
PSN0025	1.925595055	0	0.544234526
PSN0042	2.263352127	0.089894702	0.399518097
PSN0042	2.241473235	0.073928997	0.507493847
PSN0042	2.535524388	0.072302604	0.707695776
PSN0042	2.399068495	0.108233952	0.605853183
PSN0042	2.354088151	0.003523495	0.26678274
PSN0042	2.314577412	0.063113263	0.550203732
PSN0042	2.761920342	0.056545208	0.568522725
PSN0042	2.656686246	0.054146939	0.02511797
PSN0016	1.982681358	0.020053691	0.361684936
PSN0016	1.907587322	0.02257495	0.30115379
PSN0016	1.773391855	0	0.186077389
PSN0016	1.778330296	0	0.013243486
PSN0016	2.03533246	0.018610919	0.792381068
PSN0016	2.066436269	0.020989729	0.733491308
PSN0016	1.963362632	0	0.268949209
PSN0016	1.934559218	0	0.963369514
PSN0016	1.859219154	0	0.945643623
PSN0016	1.897339757	0	0.943666221
PSN0016	1.879611336	0	0.992056573
PSN0016	1.891453237	0	0.34094143
PSN0016	1.911270187	0	0.142605696
PSN0016	1.9422883	0	0.507349846
PSN0016	1.944511126	0	0.731260611
PSN0016	1.972039707	0	0.798462023
PSN0016	2.124184328	0	0.836372703
PSN0016	2.152553815	0	0.116741917
PSN0016	1.862096698	0	0.056931592
PSN0016	1.841795152	0	0.392115343
PSN0016	1.83408794	0	0.234289963
PSN0016	1.829432852	0	0.927514838
PSN0016	1.912479688	0	0.844993802
PSN0016	1.897584992	0	0.522426564
PSN0016	1.689254225	0	0.604470062
PSN0016	1.794671779	0	0.779138196
PSN0016	1.917217779	0	0.446387963
PSN0016	1.980562298	0	0.344791167
PSN0015	1.252042836	0	0.884802973
PSN0015	1.38542345	0	0.522426564
PSN0015	1.699084835	0	3.43103E-08
PSN0015	1.56204861	0	0.299471949
PSN0015	1.999231497	0	0.340241951
PSN0015	2.135058807	0	0.389664239
PSN0015	1.840715999	0	0.29255718
PSN0015	1.757537893	0	0.49448167
PSN0015	1.679379251	0	0.926786056
PSN0015	1.645986693	0	0.543975826
PSN0015	1.352167498	0	0.028775113
PSN0015	1.337500759	0	0.612684217
PSN0015	1.671184869	0	0.93615718
PSN0015	1.807282434	0	1
PSN0014	2.582659315	0.093379893	0.40650978
PSN0014	2.575407881	0.095074251	0.520988143
PSN0014	2.270502153	0.108888785	1
PSN0014	2.3039284	0.101361719	0.916789631
PSN0014	2.449778825	0.108488081	0.654050232
PSN0014	2.428813023	0.106636226	0.389448991
PSN0014	2.332492997	0.107144106	0.520988143
PSN0014	2.180618903	0.077629479	0.484526829
PSN0014	2.140164294	0.03631417	0.751217631
PSN0014	2.072301388	0	0.006664688
PSN0014	1.83467115	0	0.02084613
PSN0014	1.828601215	0	0.201538829
PSN0014	1.69042768	0	0.256906082
PSN0014	1.833153717	0	0.645365344
PSN0014	2.127501699	0	0.958418406
PSN0014	2.465908744	0.055841193	0.460595706
PSN0014	2.394756571	0.109175388	0.934770816
PSN0014	2.385809239	0.107425454	0.05522951
PSN0014	2.054917394	0.079147214	0.214598141
PSN0014	2.03629318	0.075754363	0.879310344
PSN0014	2.185504075	0.02058154	0.238701611
PSN0014	2.21773555	0.080681876	0.343434784
PSN0014	1.394706961	0	0.780949451
PSN0014	1.719820819	0	0.917320459
PSN0014	2.306072794	0.090472579	0.041539754
PSN0014	2.371477269	0.095218043	0.052796708
PSN0014	2.544003263	0.100977451	0.689804201
PSN0014	2.450973742	0.105566089	0.551519709
PSN0011	1.909428146	0	0.08841006
PSN0011	2.112577039	0.045741648	1
PSN0011	2.05755328	0.054044048	0.835980942
PSN0011	2.192358679	0.056597281	0.71878197
PSN0011	2.159136594	0.107238887	0.00791674
PSN0011	2.19439654	0.09659587	0.103069735
PSN0011	2.461334616	0.107794161	0.496264666
PSN0011	2.423993707	0.0932651	0.418621024
PSN0011	0.293338141	43.11516328	0.744538763
PSN0011	0.273781626	43.38671583	0.648721122
PSN0011	2.076940823	0.023836204	0.880727124
PSN0011	2.470250795	0.103535585	0.818004616
PSN0011	1.631628157	0	0.683381242
PSN0011	1.695388452	0	0.434696863
PSN0011	1.213266554	0	0.211016804
PSN0011	1.265195695	0	0.501096771
PSN0011	1.97541924	0	0.490035664
PSN0011	2.05312607	0	0.5342293
PSN0011	2.116873373	0	0.372101128
PSN0011	2.191354135	0	1
PSN0011	2.163014832	0.095390213	1
PSN0011	2.178746664	0.082657601	0.252308337
PSN0011	2.329314655	0.099387998	0.553835817
PSN0011	2.371574516	0.093208826	0.409748141
PSN0011	1.970170049	0	0.518798288
PSN0011	1.947609643	0	0.008029242
PSN0011	2.064377417	0	0.002572938
PSN0011	1.868529676	0	0.884802973
PSN0011	1.849489308	0	0.048914263
PSN0011	1.880467268	0	1
PSN0011	1.50560405	0	0.345781934
PSN0011	1.595377208	0	0.920495258
PSN0011	1.786173721	0	0.48545921
PSN0011	1.772340549	0	0.731513231
PSN0011	2.214246331	0	0.685333791
PSN0011	2.104130385	0.01409028	0.007158592
PSN0011	2.10527332	0	1
PSN0011	2.116540805	0	0.960545562
PSN0011	2.388435024	0.109848243	0.304519667
PSN0011	2.296369809	0.097477673	0.158571739
PSN0011	2.072306657	0	0.870426174
PSN0011	2.093462334	0	0.60751315
PSN0011	1.902901877	0	0.748247962
PSN0011	1.938380954	0	0.889336962
PSN0052	1.888863693	0	1
PSN0052	1.891406992	0	0.792768157
PSN0052	1.651115045	0	0.749391317
PSN0052	1.624693399	0	0.289726615
PSN0052	2.070729802	0	0.774016783
